"location","date","A.2.5","Alpha (WHO VOC)","B (Lineage)","B.1.160 - 20A/EU2","B.1.177 - 20E/EU1","B.1.221 - 20A/S:98F","B.1.619 (WHO FMV)","Beta (WHO VOC)","Delta (WHO VOC)","Delta - AY.103 (WHO VOC)","Delta - AY.20 (WHO VOC)","Delta - AY.23 (WHO VOC)","Delta - AY.34 (WHO VOC)","Delta - AY.36 (WHO VOC)","Delta - AY.4 (WHO VOC)","Delta - AY.43 (WHO VOC)","Delta - AY.43.8 (WHO VOC)","Delta - AY.9.2 (WHO VOC)","Gamma (WHO VOC)","Gamma - P.1.12 (WHO VOC)","Gamma - P.1.15 (WHO VOC)","N (Lineage)","Omicron - BA.1 (WHO VOC)","Omicron - BA.1.1 (WHO VOC)","Omicron - BA.1.1.1 (WHO VOC)","Omicron - BA.1.1.12 (WHO VOC)","Omicron - BA.1.14 (WHO VOC)","Omicron - BA.1.15 (WHO VOC)","Omicron - BA.1.17 (WHO VOC)","Omicron - BA.1.17.2 (WHO VOC)","Omicron - BA.2 (WHO VOC)","Omicron - BA.2.1 (WHO VOC)","Omicron - BA.2.10 (WHO VOC)","Omicron - BA.2.30 (WHO VOC)","Omicron - BA.2.40.1 (WHO VOC)","Other","Zeta (WHO VOI)","Unknown"
"Suriname","2022-03-06","","","","","","","","","","","","","","","","","","","","","","","","568,0","","","","","","114,0","","","114,0","","","","",""
"Suriname","2022-03-20","","","","","","","","","","","","","","","","","","","","","","","","134,0","","34,0","","","","","67,0","","134,0","","34,0","34,0","",""
"Suriname","2022-04-03","","","","","","","","","","","","","","","","","","","","","","","","115,0","","","","","","","58,0","","115,0","","","","",""
"Suriname","2022-04-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8,0","22,0","","","","15,0","",""
"Suriname","2022-05-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51,0","5,0","","","5,0","","",""
"Suriname","2022-05-15","","","","","","","","","","","","","","","","","","","","","","","","40,0","","","","","","","198,0","40,0","","80,0","159,0","159,0","",""
"Suriname","2022-05-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408,0"
"Suriname","2022-06-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257,0"
"Suriname","2022-06-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144,0"
"Suriname","2022-07-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73,0"
"Suriname","2022-07-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84,0"
